,document_id,question_id,question,answer,probability,score,top_k_retriever,time_taken
0,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,85,Where was David born?,"Blunderstone, Suffolk, England",0.885599955554699,16.37251091003418,,1.3239490985870361
1,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,86,When David was seven who did his mother marry?,Edward Murdstone,0.8928453088380275,16.961118698120117,,3.2690529823303223
2,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,87,"To get David out of the way, where was he sent to live by his mother and stepfather?",Yarmouth,0.8422177836455775,13.39858341217041,,3.320383071899414
3,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,88,With whom is David in love?,Dora Spenlow,0.8970750712976465,17.321117401123047,,2.954350471496582
4,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,89,Where did Murdstone send David to work in London?,a wine merchant,0.86318189143464,14.735784530639648,,2.569925546646118
5,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,90,"When David ran away, to which relative did he run?",Betsey Trotwood,0.8479677891143742,13.750001907348633,,3.0219078063964844
6,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,91,What nickname did David's great-aunt call him?,Betsey Trotwood,0.8293003471645101,12.645414352416992,,2.5864174365997314
7,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,92,Why was Uriah Heep in prison?,"bank fraud, and awaiting transportation",0.8380560357408459,13.150676727294922,,0.8460042476654053
8,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,93,"To build a new life, where did Peggotty take Emily?",Australia,0.8522120414784291,14.016454696655273,,1.2986268997192383
9,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,94,"How did David's wife, Dora Spenlow, die?",at the age of eight months,0.6976437074569212,6.688819408416748,,1.0623188018798828
10,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,95,Why wasn't David's father a part of his life?,"–his father, David Copperfield Sr., died 6 months before his son's birth",0.7418730326596348,8.445812225341797,,1.8503551483154297
11,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,96,Where was David sent to live after his mother remarried?,Yarmouth,0.8504345073418782,13.904104232788086,,2.473428726196289
12,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,97,What does David find out when he goes home for the holiday's?,his mother has given birth to a baby boy,0.8945837344548198,17.107532501220703,,2.689483404159546
13,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,98,Who was David in love with during his childhood?,Emily,0.7967015281593366,10.92643928527832,,2.8442039489746094
14,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,99,Why does David run away when he is in London?,No one remains to care for David in London,0.8397028091617588,13.248147964477539,,2.777390480041504
15,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,100,Why did David's aunt Betsey agree to raise him?,"on condition that he always try to 'be as like his sister, Betsey Trotwood' as he can be",0.8178422980773762,12.014373779296875,,1.6149795055389404
